id,origin_url,image_url,update_time,parsing_time,price,total_area,living_area,kitchen_area,room_number,floor,total_floor,housing,complex,point,state,city,district,street,house_number,ssf,izf,gzf
66,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-desnyanskiy-mariny-tsvetaevoy-ulitsa-17660593.html,https://cdn.riastatic.com/photos/dom/photo/11786/1178624/117862450/117862450.jpg,2020-09-06 00:47:08.000000,2020-09-06 07:21:41.143173,82000,83,51,8,4,6,10,secondary,"",0101000020E610000090604FE0429D3E408B998E4AFB424940,Київська область,Київ,Деснянський район,Марини Цвєтаєвої вулиця,8-А,0,0.28373528,0.39835635
67,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-pecherskiy-ivana-kudri-ulitsa-17623869.html,https://cdn.riastatic.com/photos/dom/photo/11765/1176507/117650748/117650748.jpg,2020-09-04 21:46:14.000000,2020-09-06 07:21:41.235832,249000,71,0,0,3,12,26,secondary,"",0101000020E6100000023D1E447C873E40B68C8AEE0F354940,Київська область,Київ,Печерський район,Івана Кудрі вулиця,7,6.3258934,2.4540107,1.3243309
68,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-pecherskiy-makkeyna-djona-ivana-kudri-ulitsa-17649808.html,https://cdn.riastatic.com/photos/dom/photo/11780/1178007/117800790/117800790.jpg,2020-09-04 13:08:42.000000,2020-09-06 07:21:41.240939,178000,52,14,18,1,15,24,secondary,"",0101000020E6100000023D1E447C873E40B68C8AEE0F354940,Київська область,Київ,Печерський район,Маккейна Джона (Івана Кудрі) вулиця,7,6.3258934,2.4540107,1.3243309
69,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-leyptsigskaya-ulitsa-17289915.html,https://cdn.riastatic.com/photos/dom/photo/11379/1137921/113792155/113792155.jpg,2020-09-06 04:17:12.000000,2020-09-06 07:21:41.246200,109000,57,21,14.5,1,12,19,secondary,"",0101000020E6100000623A7D8DAC8C3E4026378AAC35374940,Київська область,Київ,"",Лейпцизька вулиця,13,6.2487535,4.247881,6.1558123
70,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-shevchenkovskiy-chapaeva-ulitsa-17651473.html,https://cdn.riastatic.com/photos/dom/photo/11776/1177684/117768496/117768496.jpg,2020-09-06 03:18:38.000000,2020-09-06 07:21:41.251169,159000,76,44.6,11,3,3,4,secondary,"",0101000020E6100000A01E36EC52823E40E426B4F688394940,Київська область,Київ,Шевченківський район,Чапаєва вулиця,4в,9.825031,1.6031148,3.3096046
71,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-pecherskiy-patrisa-lumumby-ulitsa-17405724.html,https://cdn.riastatic.com/photos/dom/photo/11499/1149943/114994397/114994397.jpg,2020-09-06 04:16:30.000000,2020-09-06 07:21:41.256852,99000,60,40,20,2,13,33,secondary,ЖК вул. П. Лумумби,0101000020E610000016ADEA105A883E40A6CA411ADF354940,Київська область,Київ,Печерський район,Патріса Лумумби вулиця,11,6.712392,2.315256,1.0420367
72,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-podole-pirogova-ulitsa-17433443.html,https://cdn.riastatic.com/photos/dom/photo/11609/1160990/116099009/116099009.jpg,2020-09-05 19:54:09.000000,2020-09-06 07:21:41.262601,46500,50,29.1,8.6,2,7,10,secondary,"",0101000020E6100000FEC0B057B3713C40E5B919C9799C4840,Вінницька область,Вінниця,Поділля,Пирогова вулиця,73а,0,1.1831695,0.91495955
75,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-staryiy-gorod-danila-nechaya-ulitsa-17258632.html,https://cdn.riastatic.com/photos/dom/photo/11347/1134750/113475027/113475027.jpg,2020-09-06 04:20:55.000000,2020-09-06 07:21:41.279660,40000,59,0,9,3,3,5,secondary,"",0101000020E61000008CC28943917D3C408C16FB26A89C4840,Вінницька область,Вінниця,Старе місто,Данила Нечая вулиця,49б,0,6.6747336,0.18781996
77,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-pecherskiy-panasa-mirnogo-ulitsa-17334340.html,https://cdn.riastatic.com/photos/dom/photo/11424/1142462/114246255/114246255.jpg,2020-09-06 03:13:55.000000,2020-09-06 07:21:41.289653,140000,80,49,9,3,3,12,secondary,"",0101000020E61000000043458B228A3E40BA9E8D017E374940,Київська область,Київ,Печерський район,Панаса Мирного вулиця,11,12.132093,0.8860453,5.01607
78,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-darnitskiy-harkovskoe-shosse-17326032.html,https://cdn.riastatic.com/photos/dom/photo/11416/1141627/114162756/114162756.jpg,2020-09-05 22:48:15.000000,2020-09-06 07:21:41.294588,115000,94.5,49.3,14.5,3,6,18,secondary,"",0101000020E6100000F4DE180280A73E403E5B07077B354940,Київська область,Київ,Дарницький район,Харьковское шоссе,152,1.050637,2.7168002,3.1001234
